enrollee_id,prediction,probability,city_development_index,experience_cleaned,training_hours
181,1.0,0.7161908583763272,0.624,0.0,300
32795,1.0,0.6634499750837012,0.527,3.0,41
21968,1.0,0.6585695401399785,0.624,0.0,50
25129,1.0,0.6574539810672476,0.624,0.0,6
7953,1.0,0.6548573167030268,0.624,3.0,300
23674,1.0,0.6500581530274242,0.624,8.0,70
20723,1.0,0.6500505812402098,0.55,0.0,188
462,1.0,0.647975518413876,0.55,5.0,46
12462,1.0,0.6478033330942771,0.624,0.0,5
32233,1.0,0.6473091739065489,0.55,0.0,81
