enrollee_id,city,city_development_index,gender,relevent_experience,enrolled_university,education_level,major_discipline,company_size,company_type,last_new_job,training_hours,target,experience_cleaned,experience_ratio,training_per_experience,has_relevant_exp,exp_category,training_hours_capped
8949,city_103,0.92,male,has relevent experience,no_enrollment,graduate,stem,,,1,36,1.0,21.0,20.588235294117645,1.6363636363636365,1,expert,36
29725,city_40,0.7759999999999999,male,no relevent experience,no_enrollment,graduate,stem,50-99,pvt ltd,>4,47,0.0,15.0,17.12328767123288,2.9375,0,expert,47
11561,city_21,0.624,,no relevent experience,full time course,graduate,stem,,,never,83,0.0,5.0,6.906077348066298,13.833333333333334,0,mid,83
33241,city_115,0.789,,no relevent experience,,graduate,business degree,,pvt ltd,never,52,1.0,0.0,0.0,52.0,0,junior,52
666,city_162,0.767,male,has relevent experience,no_enrollment,masters,stem,50-99,funded startup,4,8,0.0,21.0,24.22145328719723,0.36363636363636365,1,expert,8
21651,city_176,0.764,,has relevent experience,part time course,graduate,stem,,,1,24,1.0,11.0,12.731481481481481,2.0,1,expert,24
28806,city_160,0.92,male,has relevent experience,no_enrollment,high school,,50-99,funded startup,1,24,0.0,5.0,4.901960784313726,4.0,1,mid,24
402,city_46,0.762,male,has relevent experience,no_enrollment,graduate,stem,<10,pvt ltd,>4,18,1.0,13.0,15.081206496519721,1.2857142857142858,1,expert,18
27107,city_103,0.92,male,has relevent experience,no_enrollment,graduate,stem,50-99,pvt ltd,1,46,1.0,7.0,6.862745098039215,5.75,1,senior,46
699,city_103,0.92,,has relevent experience,no_enrollment,graduate,stem,10000+,pvt ltd,>4,123,0.0,17.0,16.666666666666668,6.833333333333333,1,expert,123
29452,city_21,0.624,,no relevent experience,full time course,high school,,,,never,32,1.0,2.0,2.7624309392265194,10.666666666666666,0,junior,32
23853,city_103,0.92,male,has relevent experience,no_enrollment,graduate,stem,5000-9999,pvt ltd,1,108,0.0,5.0,4.901960784313726,18.0,1,mid,108
25619,city_61,0.913,male,has relevent experience,no_enrollment,graduate,stem,1000-4999,pvt ltd,3,23,0.0,21.0,20.730503455083905,1.0454545454545454,1,expert,23
5826,city_21,0.624,male,no relevent experience,,,,,,never,24,0.0,2.0,2.7624309392265194,8.0,0,junior,24
8722,city_21,0.624,,no relevent experience,full time course,high school,,,,never,26,0.0,5.0,6.906077348066298,4.333333333333333,0,mid,26
6588,city_114,0.926,male,has relevent experience,no_enrollment,graduate,stem,10/49,pvt ltd,>4,18,0.0,16.0,15.594541910331383,1.0588235294117647,1,expert,18
4167,city_103,0.92,,has relevent experience,no_enrollment,graduate,stem,50-99,pvt ltd,never,106,0.0,1.0,0.9803921568627451,53.0,1,junior,106
5764,city_21,0.624,,has relevent experience,no_enrollment,graduate,stem,5000-9999,pvt ltd,2,7,0.0,2.0,2.7624309392265194,2.3333333333333335,1,junior,7
2156,city_21,0.624,,has relevent experience,no_enrollment,graduate,stem,10000+,pvt ltd,never,23,1.0,7.0,9.668508287292818,2.875,1,senior,23
11399,city_13,0.8270000000000001,female,has relevent experience,no_enrollment,graduate,arts,,,1,132,1.0,4.0,4.314994606256742,26.4,1,mid,132
